,Entropy of Concentrations
A,5.83199932482e-05
B,2.0460127217e-06
C,7.408580186e-05
D,3.26719008355e-05
E,0.00077251558957
F,3.79135232566e-07
A_ext,0.346612605631
D_ext,0.346516018316
E_ext,0.346612605631
F_ext,0.346516018316
