,Backward Log likelihoods
R_1,-4.96089847717
R_2,-4.41489505947
R_3,-0.546003417768
R_4,-2.11271279264
R_5,-2.11270411354
R_6,-1.15110070935
R_7,-1.69709891865
R_8,-5.92250702011
R_9,-1.15109549909
