,Backward rate
R_1,1.00700662971
R_2,1.0120958234
R_3,1.5792602516
R_4,1.12090951868
R_5,1.12091056807
R_6,1.31628843607
R_7,1.18321427332
R_8,1.00267847676
R_9,1.31629008402
