,logK - logQ
R_1,10.8696537561
R_2,4.41489505956
R_3,0.546003417861
R_4,2.1127127925
R_5,8.02145939252
R_6,1.15110070934
R_7,1.69709891856
R_8,-11.4981737338
R_9,-16.2695852549
