,fullS*net_likelihood
A,58.9068157459
B,68.8205656694
C,-1.28241362262
D,-351.769498776
E,-7.28308401445e-05
F,1.81210397372e-05
A_ext,-142.714964109
D_ext,373.343850364
E_ext,-8.14966508121
F_ext,2.84536451893
