	Forward likelihoods	Backward likelihoods	Delta G	log Q_r	log K_eq	Delta G0	logK - logQ	logQ - logK	Forward Log likelihoods	Backward Log likelihoods	Forward probabilities	Backward probabilities	Net probabilities	Net likelihoods	Forward rate	Backward rate	Thermodynamic driving force	Net flux	Forward Entropy Production	Backward Entropy Production	Reaction Entropy Production	Net Reaction Entropy Production	Microscopic Reaction Entropy Production Rate	Microscopic Reaction Entropy Production Net Flux	Microscopic Reaction Entropy Production Net Flux Difference	Total Entropy Production	Total Microscopic Entropy Production Rate	Macroscopic Reaction Entropy Production Net Flux	Macroscopic Reaction Entropy Production Net Flux Difference	Total Macroscopic Entropy Production Net Flux	Total Macroscopic Entropy Production Net Flux Difference
R_1	142.721970739	0.00700662970685	-26.945395455	-10.8696537561	-0.0	0.0	10.8696537561	-10.8696537561	4.96089847717	-4.96089847717	0.226381362381	1.11137084958e-05	0.226370248672	142.714964109	143.721970739	1.00700662971	26.945395455	142.714964109	0.336297269117	0.000126777753805	0.336424046871	0.336170491363	48.3334339377	48.0127457747	47.9765596095	1.15714020348	187.287489607	125.601849014	125.507185624	432.011178979	417.013816663
R_2	82.6731646848	0.0120958234006	-10.9443314333	-3.6081038752	0.806791184361	-2.0	4.41489505956	-4.41489505956	4.41489505947	-4.41489505947	0.131133724939	1.91860367845e-05	0.131114538902	82.6610688614	83.6731646848	1.0120958234	10.9443314333	82.6610688614	0.266403102727	0.00020838583459	0.266611488562	0.266194716893	22.2910015935	22.0383906152	22.0039398236	1.15714020348	187.287489607	99.537759691	99.3821605513	432.011178979	417.013816663
R_3	1.72633975357	0.5792602516	-1.35351855212	0.2607877665	0.806791184361	-2.0	0.546003417861	-0.546003417861	0.546003417768	-0.546003417768	0.00273826898074	0.000918805452666	0.00181946352808	1.14707950197	2.72633975357	1.5792602516	1.35351855212	1.14707950197	0.016156962572	0.00642468846444	0.0225816510365	0.00973227410759	0.0541956244779	0.0259029490246	0.0111636921364	1.15714020348	187.287489607	8.43072054554	3.63348468813	432.011178979	417.013816663
R_4	8.27064743073	0.120909518677	-5.23732245333	-0.49913042378	1.61358236872	-4.0	2.1127127925	-2.1127127925	2.11271279264	-2.11271279264	0.0131186559676	0.000191783097033	0.0129268728705	8.14973791205	9.27064743073	1.12090951868	5.23732245333	8.14973791205	0.0568525809817	0.00164149943722	0.0584940804189	0.0552110815445	0.528900206152	0.476711424821	0.449955844428	1.15714020348	187.287489607	21.8384052071	20.6127177666	432.011178979	417.013816663
R_5	8.27057564928	0.120910568068	-19.8848464089	-8.02145939252	-0.0	0.0	8.02145939252	-8.02145939252	2.11270411354	-2.11270411354	0.01311854211	0.000191784761545	0.0129267573484	8.14966508121	9.27057564928	1.12091056807	19.8848464089	8.14966508121	0.0568522014118	0.0016415120195	0.0584937134313	0.0552106893923	0.528892622186	0.476704173821	0.44994862745	1.15714020348	187.287489607	21.8382681945	20.612571359	432.011178979	417.013816663
R_6	3.16167107604	0.316288436067	-2.85352822801	2.0760640281	3.22716473744	-8.0	1.15110070934	-1.15110070934	1.15110070935	-1.15110070935	0.00501494900812	0.000501687348426	0.00451326165969	2.84538263997	4.16167107604	1.31628843607	2.85352822801	2.84538263997	0.0265558200889	0.0038115864082	0.0303674064971	0.0227442336807	0.115533735477	0.0864068912678	0.0647160476745	1.15714020348	187.287489607	11.3374844672	8.49141977593	432.011178979	417.013816663
R_7	5.45809003788	0.183214273319	-4.20703386814	-0.8903077342	0.806791184361	-2.0	1.69709891856	-1.69709891856	1.69709891865	-1.69709891865	0.00865746074255	0.0002906090533	0.00836685168925	5.27487576456	6.45809003788	1.18321427332	4.20703386814	5.27487576456	0.041117171067	0.00236658402434	0.0434837550914	0.0387505870427	0.26833856885	0.229371405884	0.204404532454	1.15714020348	187.287489607	16.2343925541	14.4672933704	432.011178979	417.013816663
R_8	373.346528841	0.00267847675752	28.5034689439	11.4981737338	-0.0	0.0	-11.4981737338	11.4981737338	5.92250702011	-5.92250702011	0.592191205051	4.2485204929e-06	0.59218695653	373.343850364	374.346528841	1.00267847676	-28.5034689439	373.343850364	0.310264200369	5.25496940244e-05	0.310316750063	0.310211650675	116.146379122	115.854850301	115.815612091	1.15714020348	187.287489607	115.854850301	115.815612091	432.011178979	417.013816663
R_9	3.16165460295	0.316290084017	40.3315890661	16.2695852549	-0.0	0.0	-16.2695852549	16.2695852549	1.15109549909	-1.15109549909	0.00501492287899	0.000501689962355	0.00451323291663	2.84536451893	4.16165460295	1.31629008402	-40.3315890661	2.84536451893	0.0265557078555	0.00381160365368	0.0303673115092	0.0227441042019	0.115532859925	0.0864060707037	0.0647152671109	1.15714020348	187.287489607	11.3374490041	8.49137143581	432.011178979	417.013816663
