,log Q_r
R_1,-10.8696537561
R_2,-3.6081038752
R_3,0.2607877665
R_4,-0.49913042378
R_5,-8.02145939252
R_6,2.0760640281
R_7,-0.8903077342
R_8,11.4981737338
R_9,16.2695852549
