,Chemical potential
A,-29.4218726882
B,-40.3662041215
C,-30.7753912403
D,-34.9824251084
E,-24.361323642
F,-52.8105452307
A_ext,-2.47647723318
D_ext,-6.47895616458
E_ext,-4.47647723318
F_ext,-12.4789561646
