,Delta G
R_1,-26.945395455
R_2,-10.9443314333
R_3,-1.35351855212
R_4,-5.23732245333
R_5,-19.8848464089
R_6,-2.85352822801
R_7,-4.20703386814
R_8,28.5034689439
R_9,40.3315890661
