,Chemical potential
A,-9611160.5298
B,-9611215.78863
C,-9611057.31479
D,-9611076.44945
E,-9610658.85127
F,-9611538.2198
A_ext,-9611139.93689
D_ext,-9611168.96328
E_ext,-9610570.97027
F_ext,-9611563.26119
