	Forward likelihoods	Backward likelihoods	Delta G	log Q_r	log K_eq	Delta G0	logK - logQ	logQ - logK	Forward Log likelihoods	Backward Log likelihoods	Forward probabilities	Backward probabilities	Net probabilities	Net likelihoods	Forward rate	Backward rate	Thermodynamic driving force	Net flux	Forward Entropy Production	Backward Entropy Production	Reaction Entropy Production	Net Reaction Entropy Production	Microscopic Reaction Entropy Production Rate	Microscopic Reaction Entropy Production Net Flux	Microscopic Reaction Entropy Production Net Flux Difference	Total Entropy Production	Total Microscopic Entropy Production Rate	Macroscopic Reaction Entropy Production Net Flux	Macroscopic Reaction Entropy Production Net Flux Difference	Total Macroscopic Entropy Production Net Flux	Total Macroscopic Entropy Production Net Flux Difference
R_1	64780252.3727	1.543680309e-08	-20.592917311	-8.30709207337	-0.0	0.0	8.30709207337	-8.30709207337	17.9865113675	-17.9865113675	0.224081999427	5.33975953239e-17	0.224081999427	64780252.3727	64780253.3727	1.00000001544	20.592917311	64780252.3727	0.335169132542	2.00074200203e-15	0.335169132542	0.335169132542	21712341.3288	21712340.9936	21712340.9936	1.97526783794	79674074.6341	19144812.5347	19144812.5347	112827014.159	112827014.159
R_2	60276808.9874	1.65901283893e-08	-55.2588296391	-21.4843771211	0.806791184361	-2.0	22.2911683054	-22.2911683054	17.9144579938	-17.9144579938	0.208504094724	5.73870740553e-17	0.208504094724	60276808.9874	60276809.9874	1.00000001659	55.2588296391	60276808.9874	0.32689201058	2.14608791463e-15	0.32689201058	0.32689201058	19704007.6081	19704007.2813	19704007.2813	1.97526783794	79674074.6341	18672024.5214	18672024.5214	112827014.159	112827014.159
R_3	4503500.37444	2.2204949858e-07	103.215010558	42.4432714903	0.806791184361	-2.0	-41.6364803059	41.6364803059	15.3203655134	-15.3203655134	0.0155781018345	7.6809357468e-16	0.0155781018345	4503500.37444	4503501.37444	1.00000022205	-103.215010558	4503500.37444	0.0648343319033	2.67316688855e-14	0.0648343319034	0.0648343319033	291981.502838	291981.438004	291981.438003	1.97526783794	79674074.6341	3703327.69216	3703327.69215	112827014.159	112827014.159
R_4	14985331.8999	6.67319220342e-08	-278.258997046	-110.634870524	1.61358236872	-4.0	112.248452893	-112.248452893	16.5225824073	-16.5225824073	0.0518359069503	2.30833038887e-16	0.0518359069503	14985331.8999	14985332.8999	1.00000006673	278.258997046	14985331.8999	0.15341729201	8.31110593935e-15	0.15341729201	0.15341729201	2299009.19338	2299009.03996	2299009.03996	1.97526783794	79674074.6341	8763173.60384	8763173.60384	112827014.159	112827014.159
R_5	14985347.2745	6.67318535687e-08	-87.8810067327	-35.4508107523	-0.0	0.0	35.4508107523	-35.4508107523	16.5225834333	-16.5225834333	0.0518359601329	2.30832802057e-16	0.0518359601329	14985347.2745	14985348.2745	1.00000006673	87.8810067327	14985347.2745	0.153417396231	8.31109764917e-15	0.153417396231	0.153417396231	2299013.11389	2299012.96047	2299012.96047	1.97526783794	79674074.6341	8763179.55689	8763179.55689	112827014.159	112827014.159
R_6	22645720.9758	4.41584527633e-08	-163.957330306	-62.9124996136	3.22716473744	-8.0	66.139664351	-66.139664351	16.9354814727	-16.9354814727	0.0783340331175	1.52748932343e-16	0.0783340331175	22645720.9758	22645721.9758	1.00000004416	163.957330306	22645720.9758	0.199499009935	5.56277030233e-15	0.199499009935	0.199499009935	4517799.11344	4517798.91394	4517798.91394	1.97526783794	79674074.6341	11395354.6888	11395354.6888	112827014.159	112827014.159
R_7	27149163.1942	3.6833547791e-08	-19.1346597506	-6.91204621689	0.806791184361	-2.0	7.71883740125	-7.71883740125	17.1168567823	-17.1168567823	0.0939119337839	1.27411282493e-16	0.0939119337839	27149163.1942	27149164.1942	1.00000003683	19.1346597506	27149163.1942	0.222139082552	4.66313971839e-15	0.222139082552	0.222139082552	6030890.42614	6030890.204	6030890.204	1.97526783794	79674074.6341	12688552.373	12688552.373	112827014.159	112827014.159
R_8	57119855.8455	1.75070469839e-08	-92.5138311073	-37.3196716844	-0.0	0.0	37.3196716844	-37.3196716844	17.8606623523	-17.8606623523	0.197583847485	6.0558796061e-17	0.197583847485	57119855.8455	57119856.8455	1.00000001751	92.5138311073	57119855.8455	0.320400433931	2.2614420916e-15	0.320400433931	0.320400433931	18301226.9194	18301226.599	18301226.599	1.97526783794	79674074.6341	18301226.599	18301226.599	112827014.159	112827014.159
R_9	22645746.8283	4.41584023518e-08	-25.0413826325	-10.1015833761	-0.0	0.0	10.1015833761	-10.1015833761	16.9354826143	-16.9354826143	0.0783341225441	1.52748757964e-16	0.0783341225441	22645746.8283	22645747.8283	1.00000004416	25.0413826325	22645746.8283	0.199499148258	5.56276412622e-15	0.199499148258	0.199499148258	4517807.4034	4517807.2039	4517807.2039	1.97526783794	79674074.6341	11395362.5898	11395362.5898	112827014.159	112827014.159
