,fullS*net_probabilities
A,-1.97131534785e-07
B,1.21539029035e-07
C,2.0116809131e-07
D,-9.98004607011e-08
E,5.3182570417e-08
F,-8.94265764079e-08
A_ext,-0.224081999427
D_ext,0.197583847485
E_ext,-0.0518359601329
F_ext,0.0783341225441
