,fullS*net_flux
A,-56.9890959803
B,35.1359279007
C,58.1560310796
D,-28.8514876142
E,15.3746411689
F,-25.8524834774
A_ext,-64780252.3727
D_ext,57119855.8455
E_ext,-14985347.2745
F_ext,22645746.8283
