,Macroscopic Reaction Entropy Production Net Flux
R_1,19144812.5347
R_2,18672024.5214
R_3,3703327.69216
R_4,8763173.60384
R_5,8763179.55689
R_6,11395354.6888
R_7,12688552.373
R_8,18301226.599
R_9,11395362.5898
