,fullS*net_likelihood
A,55.3527244697
B,-38.5888107158
C,-30.5221111961
D,86.8027338237
E,-21.8192715999
F,9.82053961419
A_ext,-37221219.2243
D_ext,32823334.6386
E_ext,-8600110.99288
F_ext,12997934.5327
