,Reaction Entropy Production
R_1,0.335182745453
R_2,0.326777664039
R_3,0.0655540479549
R_4,0.15331067411
R_5,0.153310416521
R_6,0.199385697687
R_7,0.2223509976
R_8,0.320428955083
R_9,0.199385606171
