,fullS*backward_rate
A,-1.0000002232
B,-2.00000013846
C,1.00000022937
D,2.00000015279
E,-6.83897383169e-14
F,5.0404125318e-14
A_ext,-1.00000001544
D_ext,1.00000001751
E_ext,-1.00000006673
F_ext,1.00000004416
