,fullS*forward_rate
A,-57.989096202
B,33.1359277591
C,59.1560313106
D,-26.8514874578
E,15.3746411689
F,-25.8524834774
A_ext,-64780253.3727
D_ext,57119856.8455
E_ext,-14985348.2745
F_ext,22645747.8283
