,Forward rate
R_1,64780253.3727
R_2,60276809.9874
R_3,4503501.37444
R_4,14985332.8999
R_5,14985348.2745
R_6,22645721.9758
R_7,27149164.1942
R_8,57119856.8455
R_9,22645747.8283
