,Log Concentrations
A,-2525711.96355
B,-2525747.41547
C,-2525767.55426
D,-2525806.43201
E,-2525884.62663
F,-2525736.31102
A_ext,-2525667.26804
D_ext,-2525829.5831
E_ext,-2525865.61296
F_ext,-2525774.85479
