,Total Macroscopic Entropy Production Net Flux
R_1,112827014.159
R_2,112827014.159
R_3,112827014.159
R_4,112827014.159
R_5,112827014.159
R_6,112827014.159
R_7,112827014.159
R_8,112827014.159
R_9,112827014.159
