,logK - logQ
R_1,4.24655115577
R_2,4.17887739058
R_3,1.5647891047
R_4,3.83866213503
R_5,3.83866213503
R_6,2.25368227727
R_7,2.64343173991
R_8,4.67173583331
R_9,2.25368227727
