,Concentrations
A,1.43135139605e-05
B,4.91210717676e-07
C,6.7073651776e-06
D,1.06883112767e-06
E,2.15223761256e-05
F,9.52273671225e-08
A_ext,0.001
D_ext,1e-08
E_ext,0.001
F_ext,1e-08
