,Chemical potential
A,-27.6510369746
B,-38.0102909466
C,-31.5300806107
D,-38.0830320836
E,-28.639897962
F,-50.0772809125
A_ext,-17.1240227035
D_ext,-49.6640605426
E_ext,-19.1240227035
F_ext,-55.6640605426
