,Absolute activities
A,9.80183128814e-13
B,3.10699379817e-17
C,2.02609580242e-14
D,2.88901177519e-17
E,3.64628283359e-13
F,1.78530832845e-22
A_ext,3.65705449446e-08
D_ext,2.69881153326e-22
E_ext,4.94928505819e-09
F_ext,6.68968496248e-25
