,fullS*net_flux
A,-3.70601327404e-11
B,6.25828988632e-09
C,-2.59498733612e-09
D,5.60831381335e-10
E,0.0
F,0.0
A_ext,-69.8497326124
D_ext,106.873756753
E_ext,-46.4417488712
F_ext,9.41772472653
