	Absolute activities
A	9.35045364143e-13
B	2.91715261504e-17
C	2.25578306965e-14
D	2.941626077e-17
E	3.83159083378e-13
F	1.58859545998e-22
A_ext	3.65705449446e-08
D_ext	2.69881153326e-22
E_ext	4.94928505819e-09
F_ext	6.68968496248e-25
