	Normalized absolute activities
A	2.25197253737e-05
B	7.02569931717e-10
C	5.43285033853e-07
D	7.08464144592e-10
E	9.22804140098e-06
F	3.82598907609e-15
A_ext	0.880768634871
D_ext	6.49984448831e-15
E_ext	0.119199072666
F_ext	1.61115036734e-17
