	Log Concentrations
A	-11.1733242676
B	-14.5518257753
C	-11.8689851221
D	-13.7416644195
E	-10.7264203557
F	-16.2140912175
A_ext	-6.90775527898
D_ext	-18.420680744
E_ext	-6.90775527898
F_ext	-18.420680744
